car_id,probeID,car_id,passenger_id,timestamp,longitude,latitude,shape,easting,northing
88,88,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295257,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382
89,89,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295260,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382
90,90,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295266,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382
91,91,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295269,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382
92,92,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295272,108.97237,34.27584,POINT (108.97237 34.27584),313345.8163674226,3794601.7481671376
93,93,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295275,108.97237,34.27584,POINT (108.97237 34.27584),313345.8163674226,3794601.7481671376
94,94,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295278,108.97237,34.27567,POINT (108.97237 34.27567),313345.4404367452,3794582.893704759
95,95,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295281,108.97237,34.27541,POINT (108.97237 34.27541),313344.8654871278,3794554.0574690658
96,96,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295284,108.97237,34.2753,POINT (108.97237 34.2753),313344.62224037165,3794541.857523519
97,97,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295290,108.97237,34.27516,POINT (108.97237 34.27516),313344.3126545875,3794526.330320372
98,98,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295293,108.97237,34.27516,POINT (108.97237 34.27516),313344.3126545875,3794526.330320372
99,99,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295296,108.97237,34.275090000000006,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189155
100,100,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295299,108.97237,34.275090000000006,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189155
101,101,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295302,108.97237,34.275090000000006,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189155
102,102,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295305,108.97237,34.27498,POINT (108.97237 34.27498),313343.9146173624,3794506.366773927
