,car_id,probeID,car_id.1,passenger_id,timestamp,longitude,latitude,shape,easting,northing,distance,linkPVID,projection_NE,projection_lat,projection_lon
63,63,63,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295176,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
64,64,64,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295179,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
65,65,65,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295182,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
66,66,66,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295185,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
67,67,67,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295188,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
68,68,68,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295194,108.97238,34.27656,POINT (108.97238 34.27656),313348.3292499081,3794681.584008322,9.387702367227483,263906.0,POINT ( 313357.7037064712 3794681.085490637),34.27655715948057,108.9724808889796
69,69,69,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295197,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
70,70,70,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295200,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
71,71,71,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295203,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
72,72,72,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295206,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
73,73,73,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295209,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
74,74,74,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295212,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
75,75,75,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295215,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
76,76,76,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295218,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
77,77,77,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295221,108.97238,34.27647,POINT (108.97238 34.27647),313348.1302248725,3794671.602233059,9.09766310997819,263906.0,POINT ( 313357.21894385485 3794671.198920125),34.27646796619637,108.97247776596483
78,78,78,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295224,108.97238,34.27638,POINT (108.97238 34.27638),313347.9312002982,3794661.620457925,8.853985084141804,263906.0,POINT ( 313356.7764808203 3794661.2279476),34.276378019809556,108.97247512047403
79,79,79,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295227,108.97238,34.27638,POINT (108.97238 34.27638),313347.9312002982,3794661.620457925,8.853985084141804,263906.0,POINT ( 313356.7764808203 3794661.2279476),34.276378019809556,108.97247512047403
80,80,80,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295233,108.97238,34.27638,POINT (108.97238 34.27638),313347.9312002982,3794661.620457925,8.853985084141804,263906.0,POINT ( 313356.7764808203 3794661.2279476),34.276378019809556,108.97247512047403
81,81,81,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295236,108.97238,34.27624,POINT (108.97238 34.27624),313347.62160743284,3794646.0932524162,8.474929472588862,263906.0,POINT ( 313356.08820500196 3794645.7175461906),34.27623810320838,108.97247100526754
82,82,82,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295239,108.97238,34.276140000000005,POINT (108.97238 34.27614000000001),313347.40047035506,3794635.0023915283,8.287873407583227,263906.0,POINT ( 313355.68669698184 3794634.8371828427),34.27613996797507,108.97246900128317
83,83,83,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295242,108.97238,34.27604,POINT (108.97238 34.27604),313347.1793338469,3794623.911530799,8.287883144459924,263906.0,POINT ( 313355.4655702086 3794623.7463219194),34.276039967971116,108.9724690012775
84,84,84,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295245,108.97238,34.27604,POINT (108.97238 34.27604),313347.1793338469,3794623.911530799,8.287883144459924,263906.0,POINT ( 313355.4655702086 3794623.7463219194),34.276039967971116,108.9724690012775
85,85,85,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295248,108.97238,34.27604,POINT (108.97238 34.27604),313347.1793338469,3794623.911530799,8.287883144459924,263906.0,POINT ( 313355.4655702086 3794623.7463219194),34.276039967971116,108.9724690012775
86,86,86,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295251,108.97238,34.27604,POINT (108.97238 34.27604),313347.1793338469,3794623.911530799,8.287883144459924,263906.0,POINT ( 313355.4655702086 3794623.7463219194),34.276039967971116,108.9724690012775
87,87,87,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295254,108.97238,34.27604,POINT (108.97238 34.27604),313347.1793338469,3794623.911530799,8.287883144459924,263906.0,POINT ( 313355.4655702086 3794623.7463219194),34.276039967971116,108.9724690012775
88,88,88,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295257,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382,8.28789154557949,263906.0,POINT ( 313355.31078343204 3794615.9827213855),34.27596996798684,108.97246900129075
89,89,89,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295260,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382,8.28789154557949,263906.0,POINT ( 313355.31078343204 3794615.9827213855),34.27596996798684,108.97246900129075
90,90,90,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295266,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382,8.28789154557949,263906.0,POINT ( 313355.31078343204 3794615.9827213855),34.27596996798684,108.97246900129075
91,91,91,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295269,108.97238,34.27597,POINT (108.97238 34.27597),313347.02453863,3794616.147928382,8.28789154557949,263906.0,POINT ( 313355.31078343204 3794615.9827213855),34.27596996798684,108.97246900129075
92,92,92,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295272,108.97237,34.27584,POINT (108.97237 34.27584),313345.81636742264,3794601.7481671376,9.20878451880468,263906.0,POINT ( 313355.0233222232 3794601.564603487),34.2758399679904,108.97246900130735
93,93,93,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295275,108.97237,34.27584,POINT (108.97237 34.27584),313345.81636742264,3794601.7481671376,9.20878451880468,263906.0,POINT ( 313355.0233222232 3794601.564603487),34.2758399679904,108.97246900130735
94,94,94,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295278,108.97237,34.27567,POINT (108.97237 34.27567),313345.4404367452,3794582.893704759,9.208804370573839,263906.0,POINT ( 313354.6474113936 3794582.7101407126),34.27566996798298,108.97246900131337
95,95,95,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295281,108.97237,34.27541,POINT (108.97237 34.27541),313344.8654871278,3794554.0574690658,9.208831566986058,263906.0,POINT ( 313354.0724889672 3794553.8739044773),34.27540996797161,108.97246900128823
96,96,96,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295284,108.97237,34.2753,POINT (108.97237 34.2753),313344.62224037165,3794541.8575235186,9.208841920924511,263906.0,POINT ( 313353.82925256295 3794541.673958724),34.27529996796681,108.97246900126508
97,97,97,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295290,108.97237,34.27516,POINT (108.97237 34.27516),313344.3126545875,3794526.330320372,9.20885528561961,263906.0,POINT ( 313353.51968018955 3794526.146757754),34.27515996798272,108.97246900123764
98,98,98,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295293,108.97237,34.27516,POINT (108.97237 34.27516),313344.3126545875,3794526.330320372,9.20885528561961,263906.0,POINT ( 313353.51968018955 3794526.146757754),34.27515996798272,108.97246900123764
99,99,99,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295296,108.97237,34.27509000000001,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189164,9.20886302370968,263906.0,POINT ( 313353.3648954527 3794518.3831561445),34.27508996797967,108.9724690012354
100,100,100,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295299,108.97237,34.27509000000001,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189164,9.20886302370968,263906.0,POINT ( 313353.3648954527 3794518.3831561445),34.27508996797967,108.9724690012354
101,101,101,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295302,108.97237,34.27509000000001,POINT (108.97237 34.27509000000001),313344.1578621141,3794518.5667189164,9.20886302370968,263906.0,POINT ( 313353.3648954527 3794518.3831561445),34.27508996797967,108.9724690012354
